StockID,StockName,Broker,NetBuy,TotalTrials,Successes,SuccessRate
2606,裕民,國泰綜合,4055.4,0,0,0
2637,慧洋-KY,國泰綜合,3500.0,0,0,0
6005,群益證,元大,3017.0,0,0,0
5522,遠雄,康和,2998.0,0,0,0
2609,陽明,元大忠孝,2002.55,0,0,0
2618,長榮航,元大內湖,1999.383,0,0,0
2393,億光,統一,1966.882,0,0,0
2606,裕民,元大,1957.0,0,0,0
2609,陽明,法銀巴黎,1472.0,0,0,0
2801,彰銀,新光台南,1310.139,0,0,0
2883,開發金,華南南京,1010.2,0,0,0
9802,鈺齊-KY,富邦,941.0,0,0,0
3019,亞光,凱基彰化,887.67,0,0,0
2368,金像電,統一,825.486,0,0,0
5481,新華,富邦,806.0,0,0,0
2317,鴻海,群益中山,728.065,0,0,0
3702,大聯大,上海匯豐,715.0,0,0,0
1711,永光,元大站前,714.151,0,0,0
2890,永豐金,凱基林口,701.0,0,0,0
2308,台達電,花旗環球,645.495,0,0,0
9105,泰金寶-DR,元大古亭,642.5,0,0,0
3481,群創,台新台南,604.81,0,0,0
3481,群創,凱基大里,599.9,0,0,0
1301,台塑,福邦,590.0,0,0,0
9105,泰金寶-DR,群益北高,574.9,0,0,0
6239,力成,華南永昌,561.042,0,0,0
5522,遠雄,永豐金,559.526,0,0,0
3189,景碩,元富,550.0,0,0,0
4977,眾達-KY,台灣摩根,545.0,0,0,0
2002,中鋼,華南麻豆,519.301,0,0,0
3010,華立,元大,519.0,0,0,0
2308,台達電,元富,518.054,0,0,0
2601,益航,群益古亭,511.0,0,0,0
2887,台新金,富邦左營,510.05,0,0,0
8046,南電,台灣摩根,503.0,0,0,0
9907,統一實,元富同大,502.0,0,0,0
2887,台新金,凱基三峽,501.0,0,0,0
2542,興富發,統一,500.117,0,0,0
